R,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2.0,0.02128,0.000208,1.834e-6,1.542e-8,1.261e-10,1.012e-12,8.02e-15,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
3.0,0.04358,0.001035,2.223e-5,4.556e-7,9.088e-9,1.78e-10,3.444e-12,6.599e-14,1.255e-15,2.385e-17,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
4.0,0.0596,0.002191,7.279e-5,2.311e-6,7.139e-8,2.167e-9,6.498e-11,1.93e-12,5.69e-14,1.668e-15,0.4879,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
5.0,0.07075,0.003437,0.00015,6.258e-6,2.543e-7,1.016e-8,4.007e-10,1.566e-11,6.075e-13,2.344e-14,0.9001,3.453e-17,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6.0,0.07825,0.004659,0.0002463,1.246e-5,6.143e-7,2.976e-8,1.424e-9,6.75e-11,3.177e-12,1.487e-13,0.6927,3.215e-16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7.0,0.08288,0.005811,0.0003553,2.079e-5,1.185e-6,6.643e-8,3.677e-9,2.017e-10,1.098e-11,5.948e-13,0.3206,1.722e-15,9.227e-17,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
8.0,0.08516,0.006878,0.0004718,3.098e-5,1.982e-6,1.246e-7,7.741e-9,4.765e-10,2.912e-11,1.77e-12,0.1071,6.453e-15,3.878e-16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
9.0,0.08556,0.007857,0.0005924,4.273e-5,3.004e-6,2.076e-7,1.417e-8,9.584e-10,6.438e-11,4.3e-12,0.2859,1.893e-14,1.25e-15,8.24e-17,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
10.0,0.08556,0.008752,0.0007145,5.577e-5,4.243e-6,3.173e-7,2.344e-8,1.716e-9,1.248e-10,9.021e-12,0.6492,4.654e-14,3.326e-15,2.371e-16,1.708e-17,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
20.0,Inf,0.01448,0.001819,0.0002169,2.521e-5,2.88e-6,3.252e-7,3.64e-8,4.045e-9,4.47e-10,0.4918,5.389e-12,5.888e-13,6.414e-14,6.972e-15,7.562e-16,8.202e-17,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
30.0,Inf,0.01699,0.002627,0.0003795,5.336e-5,7.379e-6,1.008e-6,1.365e-7,1.836e-8,2.456e-9,0.327,4.337e-11,5.735e-12,7.562e-13,9.947e-14,1.306e-14,1.711e-15,2.239e-16,2.938e-17,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
40.0,Inf,0.01784,0.003215,0.000523,8.266e-5,1.285e-5,1.973e-6,3.003e-7,4.539e-8,6.822e-9,1.021,1.522e-10,2.262e-11,3.352e-12,4.956e-13,7.312e-14,1.077e-14,1.584e-15,2.326e-16,3.426e-17,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
50.0,Inf,0.01785,0.003659,0.0006469,0.000111,1.872e-5,3.121e-6,5.155e-7,8.456e-8,1.38e-8,2.241,3.625e-10,5.847e-11,9.405e-12,1.509e-12,2.417e-13,3.863e-14,6.165e-15,9.826e-16,1.565e-16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
60.0,Inf,Inf,0.004001,0.0007541,0.0001377,2.471e-5,4.382e-6,7.701e-7,1.344e-7,2.333e-8,4.031,6.939e-10,1.191e-10,2.038e-11,3.479e-12,5.927e-13,1.008e-13,1.711e-14,2.902e-15,4.914e-16,8.327e-17,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
70.0,Inf,Inf,0.004271,0.0008474,0.0001626,3.066e-5,5.711e-6,1.054e-6,1.933e-7,3.525e-8,6.398,1.157e-9,2.085e-10,3.749e-11,6.723e-12,1.203e-12,2.15e-13,3.834e-14,6.829e-15,1.215e-15,2.16e-16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
80.0,Inf,Inf,0.004485,0.0009293,0.0001858,3.648e-5,7.077e-6,1.361e-6,2.598e-7,4.932e-8,9.323,1.756e-9,3.295e-10,6.169e-11,1.152e-11,2.147e-12,4.004e-13,7.42e-14,1.376e-14,2.549e-15,4.717e-16,8.733e-17,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
90.0,Inf,Inf,0.004655,0.001002,0.0002074,4.213e-5,8.458e-6,1.683e-6,3.325e-7,6.532e-8,1.278,2.49e-9,4.836e-10,9.369e-11,1.811e-11,3.492e-12,6.723e-13,1.292e-13,2.48e-14,4.754e-15,9.103e-16,1.742e-16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
100.0,Inf,Inf,0.004789,0.001066,0.0002274,4.76e-5,9.841e-6,2.016e-6,4.103e-7,8.303e-8,1.673,3.357e-9,6.716e-10,1.34e-10,2.667e-11,5.298e-12,1.05e-12,2.079e-13,4.11e-14,8.114e-15,1.6e-15,3.153e-16,6.218e-17,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
200.0,Inf,Inf,0.005052,0.001456,0.0003707,9.217e-5,2.261e-5,5.498e-6,1.327e-6,3.186e-7,7.613,1.812e-8,4.301e-9,1.018e-9,2.403e-10,5.663e-11,1.332e-11,3.128e-12,7.333e-13,1.717e-13,4.017e-14,9.385e-15,2.191e-15,5.111e-16,1.192e-16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
300.0,Inf,Inf,Inf,0.001628,0.0004554,0.0001235,3.297e-5,8.724e-6,2.292e-6,5.986e-7,1.557,4.032e-8,1.041e-8,2.681e-9,6.888e-10,1.766e-10,4.519e-11,1.155e-11,2.946e-12,7.507e-13,1.91e-13,4.857e-14,1.234e-14,3.131e-15,7.939e-16,2.012e-16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
400.0,Inf,Inf,Inf,0.001695,0.0005117,0.0001467,4.141e-5,1.157e-5,3.209e-6,8.85e-7,2.43,6.645e-8,1.812e-8,4.926e-9,1.336e-9,3.616e-10,9.771e-11,2.636e-11,7.099e-12,1.91e-12,5.132e-13,1.377e-13,3.693e-14,9.895e-15,2.649e-15,7.087e-16,1.896e-16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
500.0,Inf,Inf,Inf,0.0017,0.0005517,0.0001649,4.842e-5,1.407e-5,4.061e-6,1.165e-6,3.326,9.463e-8,2.683e-8,7.587e-9,2.14e-9,6.025e-10,1.693e-10,4.75e-11,1.331e-11,3.723e-12,1.04e-12,2.905e-13,8.101e-14,2.278e-14,6.284e-15,1.749e-15,4.863e-16,1.353e-16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
600.0,Inf,Inf,Inf,Inf,0.0005811,0.0001795,5.438e-5,1.63e-5,4.848e-6,1.434e-6,4.221,1.238e-7,3.618e-8,1.055e-8,3.067e-9,8.902e-10,2.579e-10,7.459e-11,2.154e-11,6.213e-12,1.79e-12,5.151e-13,1.481e-13,4.254e-14,1.221e-14,3.501e-15,1.003e-15,2.876e-16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
