iterations,relative_residual_norm,projected_residual_norm,orthogonality_data
1,0.0,0.0,0.0
2,1.2303230061339072,1.1186495355247975e-10,2.4424906541753444e-15
3,1.5265878424864148,5.019045357275431e-11,8.659739592076221e-15
4,1.7361296429567383,8.703771064337909e-11,1.9761969838327786e-14
5,1.8859345377836472,3.7646322810416105e-10,3.8191672047105385e-14
6,2.043652099562684,1.0305602751920807e-9,6.106226635438361e-14
7,2.050114684033827,1.8601605558080277e-9,8.79296635503124e-14
8,1.9534298646453516,2.4094527289152123e-9,1.2589929099249275e-13
9,1.9247680785548256,2.6444231791301898e-9,1.7053025658242404e-13
10,1.8676532972989077,2.9337783214616366e-9,2.2515322939398175e-13
11,1.8398559906265055,3.551962709743596e-9,2.871036741680655e-13
12,1.8672460618352207,5.438908838822747e-9,3.526068326209497e-13
13,1.8617579488216804,9.592091777224816e-9,4.1366909897533333e-13
14,1.8625739363003981,1.534635628758262e-8,4.733990977001667e-13
15,1.92516138629171,2.294069667975289e-8,5.369038547087257e-13
16,1.923523522035667,3.2126931646578837e-8,6.006306563222097e-13
17,1.8028864107145472,4.217963061280399e-8,6.703526622686695e-13
18,1.6950397444490768,5.118517713018425e-8,7.478462293875054e-13
19,1.6417142202435149,5.9380714609530774e-8,8.351097591230427e-13
20,1.6185737449771054,6.794468800129863e-8,9.268141809570807e-13
21,1.6124643101073517,7.609472984295177e-8,1.0162981567418683e-12
22,1.5540034035292907,8.30974911767042e-8,1.1051159987118808e-12
23,1.539418091840888,8.932320052585036e-8,1.1999290450148692e-12
24,1.5103554325733624,9.540508339426915e-8,1.2920775560587572e-12
25,1.488762399308043,1.004850546093279e-7,1.3851142455223453e-12
26,1.447211797079182,1.0550246888065776e-7,1.4777068457760834e-12
27,1.4406201997377297,1.1130881404108374e-7,1.5734080704987718e-12
28,1.425553241883251,1.1745695234775854e-7,1.6682211168017602e-12
29,1.434952420966112,1.235297987784009e-7,1.7619239400801234e-12
30,1.39609674578467,1.308726926029023e-7,1.8551826741486366e-12
31,1.362417967203344,1.3927534392915502e-7,1.950439809661475e-12
32,1.33166233272975,1.4950684513564657e-7,2.0481394358284888e-12
33,1.3527087174785097,1.6282115989502133e-7,2.1471713296250527e-12
34,1.3155064240064869,1.79162067944676e-7,2.241984375928041e-12
35,1.2894489423445177,1.9692715262989435e-7,2.33990604669998e-12
36,1.258838214460075,2.162211973836376e-7,2.439382029706394e-12
37,1.2437025814872502,2.3547868473818316e-7,2.539968235737433e-12
38,1.2157208520927012,2.5611111992442483e-7,2.6403323971635473e-12
39,1.2212536448211824,2.7831557830745e-7,2.7413626924044365e-12
40,1.1750327995472256,3.031196699135189e-7,2.837508006336975e-12
41,1.1478307240613408,3.2832285633217816e-7,2.9407587476271146e-12
42,1.1572531859113522,3.549564123629797e-7,3.043343355102479e-12
43,1.1319595198686025,3.829485709657505e-7,3.142375248899043e-12
44,1.0859343244578088,4.092226089416856e-7,3.240074875066057e-12
45,1.052252231333867,4.354215349222754e-7,3.3426594825414213e-12
46,1.0259248324141452,4.6236019786552235e-7,3.448130669880811e-12
47,1.033342563544151,4.917278245731584e-7,3.5587088831334768e-12
48,1.0318251783409627,5.239124210167198e-7,3.6626257582383914e-12
49,1.0114848141698585,5.556102979253257e-7,3.764544231898981e-12
50,0.96535286543131,5.822019170545305e-7,3.86379817030047e-12
51,0.9356946577486724,6.065639874192671e-7,3.970379580664485e-12
52,0.9235148792703232,6.286728625846277e-7,4.0805137047073e-12
53,0.9357404280787718,6.489463880258463e-7,4.186651025861465e-12
54,0.9235891626287441,6.67377830457607e-7,4.2872372318925045e-12
55,0.8722091358797095,6.830502410722279e-7,4.385380947269368e-12
56,0.8404933201646569,6.982607577172705e-7,4.494848937497409e-12
57,0.8548744615724603,7.150530572479761e-7,4.6058712399599244e-12
58,0.8284948899117448,7.349968153263099e-7,4.711564471904239e-12
59,0.8001177397195867,7.528639254642845e-7,4.817923837663329e-12
60,0.7950464335109116,7.707309736304014e-7,4.92828000631107e-12
61,0.7823977999466121,7.898963953798617e-7,5.03730390732926e-12
62,0.7716492444615153,8.115572390127212e-7,5.142997139273575e-12
63,0.7736660118898336,8.349327344062173e-7,5.24913446042774e-12
64,0.7458829014595617,8.59999140121739e-7,5.349942711063704e-12
65,0.7286843772547493,8.867025634258572e-7,5.452527318539069e-12
66,0.7093649219336633,9.162975088783214e-7,5.5566662382489085e-12
67,0.7020058796080565,9.509064667732208e-7,5.6632476486129235e-12
68,0.6795120840577223,9.907602150884464e-7,5.771383371211414e-12
69,0.6582511462261914,1.0303687803969622e-6,5.8824056736739294e-12
70,0.677514778370634,1.0751403915128265e-6,5.988098905618244e-12
71,0.6455746037534423,1.124045790765302e-6,6.083578085736008e-12
