iterations,relative_residual_norm,projected_residual_norm,orthogonality_data
1,0.0,0.0,0.0
2,0.015085324333026813,8.822995756219143e-8,3.3306690738754696e-14
3,0.0016358484933996487,8.955669894561424e-8,1.1102230246251565e-13
4,0.0006515204042403594,8.942315876669937e-8,1.1102230246251565e-13
5,0.0004900186908159415,8.920953009639021e-8,8.881784197001252e-14
6,0.00041984242999403986,8.920943306289786e-8,1.1102230246251565e-13
7,0.0003989328079366714,8.921339000877992e-8,8.881784197001252e-14
8,0.00035599374751425544,8.922568894842442e-8,8.881784197001252e-14
9,0.0003391718942180873,8.923294114726588e-8,1.3322676295501878e-13
10,0.00032798947119531475,8.923906769098267e-8,1.2212453270876722e-13
11,0.000321143399670663,8.924537053811576e-8,1.2212453270876722e-13
12,0.0003159948632191233,8.92463146717759e-8,1.2212453270876722e-13
13,0.00031209264644188405,8.925314221031044e-8,1.1102230246251565e-13
14,0.00030958925858516005,8.925465655451603e-8,1.2212453270876722e-13
15,0.00030700583882968714,8.926307970558156e-8,1.3322676295501878e-13
16,0.0003056618747502675,8.927407568748436e-8,1.3322676295501878e-13
17,0.00030302764513948945,8.928576100686314e-8,1.5543122344752192e-13
18,0.00030164984596154026,8.928504391381153e-8,1.3322676295501878e-13
19,0.00030074213980546007,8.928473949065818e-8,1.3322676295501878e-13
20,0.00030045384742575517,8.928519223960762e-8,1.5543122344752192e-13
21,0.0003004463277795313,8.928246986172894e-8,1.4432899320127035e-13
22,0.0003001352010278839,8.927614469911305e-8,1.3322676295501878e-13
23,0.0002997436948115452,8.927212280518404e-8,1.7763568394002505e-13
24,0.00029945580845581186,8.926909544904049e-8,1.4432899320127035e-13
25,0.0002992828180786602,8.926916117424355e-8,1.2212453270876722e-13
26,0.000299106476199422,8.926616645865693e-8,1.4432899320127035e-13
27,0.0002990502491886814,8.926477579329628e-8,1.7763568394002505e-13
28,0.00029902332457866385,8.926445971280117e-8,1.5543122344752192e-13
29,0.0002989886879964052,8.926415140386723e-8,1.887379141862766e-13
30,0.0002989459111115042,8.926665562292158e-8,1.6653345369377348e-13
31,0.0002989049589437582,8.926579864176887e-8,1.4432899320127035e-13
32,0.00029886891532314664,8.92630591664556e-8,1.4432899320127035e-13
33,0.00029884493599164095,8.926394645669689e-8,1.7763568394002505e-13
34,0.0002988292352925753,8.926432526479289e-8,1.6653345369377348e-13
35,0.00029882025102746643,8.926562489186551e-8,1.5543122344752192e-13
36,0.0002988124847209952,8.926566774647426e-8,1.4432899320127035e-13
37,0.00029880785000185487,8.926678529697085e-8,1.6653345369377348e-13
38,0.0002988005291707581,8.926650374441181e-8,1.5543122344752192e-13
39,0.00029879835250806004,8.926758576777161e-8,1.6653345369377348e-13
40,0.00029879351663408165,8.926726147162611e-8,1.2212453270876722e-13
41,0.0002987892180953635,8.926678107812336e-8,1.2212453270876722e-13
42,0.00029878660991684505,8.926671624109872e-8,1.7763568394002505e-13
43,0.00029878356482029893,8.926651040574995e-8,1.5543122344752192e-13
44,0.00029878102551592056,8.92666160989819e-8,1.3322676295501878e-13
45,0.00029877978392570136,8.926652017571257e-8,1.887379141862766e-13
46,0.00029878012260361423,8.926706329681622e-8,1.4432899320127035e-13
47,0.0002987793489034734,8.926694128330581e-8,1.4432899320127035e-13
48,0.00029877901273019005,8.926714134549485e-8,1.6653345369377348e-13
49,0.00029877749974775074,8.926675754139524e-8,1.5543122344752192e-13
50,0.00029877703550790707,8.926683303656091e-8,1.6653345369377348e-13
51,0.0002987765430413506,8.92667063601138e-8,1.6653345369377348e-13
52,0.0002987758893115714,8.926646499762825e-8,1.5543122344752192e-13
