iterations,relative_residual_norm,projected_residual_norm,orthogonality_data
1,0.0,0.0,0.0
2,1.0000000000000018,8.432506127467927e-201,5.062616992290714e-14
3,0.9999999999464244,8.432506126561953e-201,1.5409895581797173e-13
4,0.9999999988918544,8.432506108465727e-201,2.7111646261346323e-13
5,0.9999999967920052,8.432506073316268e-201,4.0034642267983145e-13
6,0.9999999966795424,8.432506071462149e-201,5.586642259913788e-13
7,0.999999828023082,8.432503227072651e-201,7.513989430663059e-13
8,0.9999925035251811,8.432379699801084e-201,9.838796444228137e-13
9,0.9999923885943031,8.432377761505622e-201,1.255440196246127e-12
10,0.9999565288343587,8.431773001661674e-201,1.5798473640415978e-12
11,0.9998378195729104,8.429771174373332e-201,1.9193535649719706e-12
12,0.9995455883551659,8.424844210736644e-201,2.3026025530725747e-12
13,0.9982312077648234,8.402701806902855e-201,2.709166224690307e-12
14,0.9941700069281281,8.334469833790893e-201,3.1519231669108194e-12
15,0.9907733953940261,8.277617188924346e-201,3.6133318559450345e-12
16,0.9907555269057182,8.277318619800695e-201,4.076294857213725e-12
17,0.9907405309248151,8.277068052290957e-201,4.57522908448027e-12
18,0.990727824128415,8.276855737682276e-201,5.103695244201845e-12
19,0.9907169638732527,8.276674278616753e-201,5.63704638523177e-12
20,0.9907076094161477,8.276517980840872e-201,6.185496559396597e-12
21,0.9906994950410206,8.27638240401483e-201,6.730616064487549e-12
22,0.843045103300619,5.993193307019248e-201,7.304601368218755e-12
23,0.8429893522639811,5.992400666885673e-201,7.911893362688716e-12
24,0.8429401475490006,5.991701142601416e-201,8.537615059367454e-12
25,0.8428965032770719,5.9910807031433834e-201,9.178435789181094e-12
26,0.8428576123575282,5.990527863591987e-201,9.85478365578274e-12
27,0.6584511656284339,3.655979964728185e-201,1.0553780072086738e-11
28,0.6584047078055995,3.655464078702289e-201,1.127276050283399e-11
29,0.6583628165592063,3.654998932955158e-201,1.2010836769604794e-11
30,0.6583249124670745,3.654578084679012e-201,1.2744028055067247e-11
31,0.4468420478547475,1.6837000796099948e-201,1.3453016478592872e-11
32,0.44680863494374884,1.6834482894401158e-201,1.418287709498145e-11
33,0.44677812726343313,1.6832184087042307e-201,1.493005719055418e-11
34,0.4467501974963559,1.683007966760984e-201,1.568167817822541e-11
35,0.3226851899440065,8.780408715081542e-202,1.6439738459439468e-11
36,0.32266369186784405,8.77923880946897e-202,1.722888498534303e-11
37,0.32264386920162164,8.778160147200248e-202,1.8022694447950016e-11
38,0.2328043539193518,4.570238472917924e-202,1.8851142868925308e-11
39,0.23278976074055036,4.569665526443902e-202,1.9715118426688605e-11
40,0.23277622277510082,4.569134041081691e-202,2.0573098780118926e-11
41,0.14011880015676897,1.6555773836432574e-202,2.1413315565155244e-11
42,0.14011010418302217,1.6553718950050012e-202,2.2286394951720467e-11
43,0.14010199469547155,1.65518027671509e-202,2.315725389223644e-11
44,0.0993615781611318,8.325179900250528e-203,2.4043655955097165e-11
45,0.09935592702768369,8.324232947402369e-203,2.496935991302962e-11
46,0.09935063297025774,8.323345878165765e-203,2.5891955246493126e-11
47,0.0707958648127258,4.2264180068113476e-203,2.6826763033227508e-11
48,0.07079218281257832,4.225978397320187e-203,2.7768454202714565e-11
49,0.05066882739773415,2.1649026545338628e-203,2.8724800316126675e-11
50,0.05066627105640371,2.1646842129077182e-203,2.968980616913086e-11
51,0.050663860866115816,2.164478270111288e-203,3.0662583583307423e-11
52,0.050661585894592125,2.164283890299353e-203,3.1665337019148865e-11
53,0.05065943620963973,2.1641002233366664e-203,3.2631453095177676e-11
54,0.05065740277955033,2.1639264962475947e-203,3.363598288785852e-11
55,0.0506554773660893,2.163762004039326e-203,3.466671394392051e-11
56,0.05065365245286156,2.163606103553113e-203,3.568478845750178e-11
57,0.050651921164660364,2.1634582065496965e-203,3.673950033089568e-11
58,0.050650277202113035,2.163317774105472e-203,3.782196777990521e-11
59,0.050648714789772134,2.1631843121604315e-203,3.8976821770120296e-11
60,0.05064722862233295,2.1630573669087368e-203,4.016187382660519e-11
61,0.05064581381683471,2.162936520702739e-203,4.138533959974211e-11
62,0.050644465876385596,2.1628213889432826e-203,4.2665426747134916e-11
63,0.0506431806515036,2.162711616767968e-203,4.400368958101808e-11
64,0.050641954311340984,2.1626068765850045e-203,4.5319525909803815e-11
65,0.05064078331292689,2.1625068654389628e-203,4.665312580698355e-11
66,0.05063966437503912,2.162411302772925e-203,4.803601960645665e-11
67,0.05063859445707743,2.1623199286186528e-203,4.9483306341358e-11
68,0.05063757073474706,2.162232501515094e-203,5.090772248195208e-11
69,0.05063659058795448,2.162148797470463e-203,5.232081434769498e-11
70,0.0013235242614757497,1.477135987289007e-206,5.378564260638541e-11
71,0.0013234780437386769,1.4770328253105396e-206,5.5309756774590824e-11
72,0.0013234337274357676,1.476933910880482e-206,5.689693161059495e-11
73,0.001323391171414016,1.4768389285329718e-206,5.859446261524681e-11
74,0.001323350313000072,1.4767477380126113e-206,6.040634659143507e-11
75,0.001323311062535425,1.476660138871666e-206,6.229750049158156e-11
76,0.0013232733281351272,1.4765759257309815e-206,6.432343546691754e-11
77,0.001323237057869222,1.476494982412095e-206,6.64954757922942e-11
78,0.0013232021114038196,1.4764169954797283e-206,6.872635793797599e-11
79,0.0013231685156224497,1.4763420246910935e-206,7.105116495154107e-11
80,0.0013231361533710929,1.4762698083908266e-206,7.350320352372819e-11
81,0.0013231049521354665,1.4762001845672638e-206,7.603873086736712e-11
82,0.0013230748449813714,1.476133003682334e-206,7.874989549350175e-11
83,0.0013230458104675968,1.4760682177272095e-206,8.164668940935371e-11
84,0.0013230178727812818,1.476005880512389e-206,8.482126112596688e-11
85,0.0013229908332703382,1.4759455486451634e-206,8.815925767180488e-11
86,2.398927410734399e-5,4.8527830840711355e-210,9.178791060548974e-11
87,2.3988449542829314e-5,4.8524494879863516e-210,9.559886215981805e-11
88,2.3988765031730302e-5,4.8525771247492255e-210,9.97844029626549e-11
89,2.3987979886893078e-5,4.852259483259801e-210,1.0436074227015979e-10
90,2.3987560415420412e-5,4.852089784381889e-210,1.0951350937205007e-10
91,2.3986434618112726e-5,4.851634353205271e-210,1.1521983367401845e-10
92,2.398469562352182e-5,4.850930900591705e-210,1.2153855699637006e-10
93,2.3984638252479737e-5,4.850907693907546e-210,1.2892131806552243e-10
