iterations,relative_residual_norm,projected_residual_norm,orthogonality_data
1,0.0,0.0,0.0
2,0.7371388628897033,2.9635869829175725e-5,1.9984014443252818e-15
3,0.6394508647333761,4.812171169201997e-5,9.769962616701378e-15
4,0.5765848907903729,5.629049493105612e-5,1.554312234475219e-14
5,0.5697608134971512,5.399575692634494e-5,2.3314683517128287e-14
6,0.5480237234946347,5.357958425459907e-5,3.68594044175552e-14
7,0.511880614325782,5.3326002007062455e-5,5.1514348342607263e-14
8,0.5333727337412483,4.8215250678367385e-5,7.37188088351104e-14
9,0.5266268480918799,4.653685691617882e-5,9.592326932761353e-14
10,0.5025559390336324,4.604797033907045e-5,1.1945999744966684e-13
11,0.48774646788865145,4.514335139055016e-5,1.4432899320127035e-13
12,0.4796273923095703,4.402390001010379e-5,1.7474910407599964e-13
13,0.47454253927438345,4.099275695818776e-5,2.0516921495072893e-13
14,0.45642316307060654,4.002584339714868e-5,2.398081733190338e-13
15,0.4491847266244733,3.857187273874802e-5,2.8377300509419e-13
16,0.4377539057232562,3.679880398339011e-5,3.255173908200959e-13
17,0.4263169932054519,3.500635966756778e-5,3.7347902548390266e-13
18,0.4270244747913497,3.3246533369643224e-5,4.298783551348606e-13
19,0.4271444882907688,3.161191796460214e-5,4.847233725513433e-13
20,0.4261101888778995,3.006777892034006e-5,5.346834086594754e-13
21,0.43478732335589115,2.866959401514555e-5,5.877520692365579e-13
22,0.434159012929276,2.6263254738700785e-5,6.388223283693151e-13
23,0.4186761559269157,2.493946696643728e-5,6.910028105266974e-13
24,0.4085725783740578,2.3628455745633003e-5,7.476241847825804e-13
25,0.41241058406807546,2.240499566123782e-5,8.046896482483135e-13
26,0.40848406783081204,2.1235195879003267e-5,8.597567102697212e-13
27,0.3929517799283609,2.1173561299224692e-5,9.141576384763539e-13
28,0.3889309495811131,2.009113335244521e-5,9.676703882632864e-13
29,0.36804871914174453,1.9055507458373905e-5,1.0260681193585697e-12
30,0.3588554276035522,1.8012657224951087e-5,1.0971223929345797e-12
31,0.3645578561100388,1.641265190864354e-5,1.1639578190170141e-12
32,0.38627620769853704,1.5509697261658e-5,1.2247980407664727e-12
33,0.36822569990338483,1.465637329735363e-5,1.2752021660844548e-12
34,0.3617922205348018,1.3822565977440293e-5,1.3278267374516872e-12
35,0.35436289391358505,1.3462333692981939e-5,1.3853362901272703e-12
36,0.35529569327621885,1.2705615989989276e-5,1.4426237981979284e-12
37,0.355287819935643,1.1989290813927854e-5,1.496580637194711e-12
38,0.349646188904255,1.163604576810077e-5,1.5496492977717935e-12
39,0.3444921829372064,1.0997928858803407e-5,1.5976109324356003e-12
40,0.3334561271017454,1.0383845285537785e-5,1.6497914145929826e-12
41,0.3324391193367422,9.148693500172708e-6,1.7013057629355899e-12
42,0.328900514197625,8.599864729359275e-6,1.758371226401323e-12
43,0.3211607747148654,8.079711314520823e-6,1.8205437157803317e-12
44,0.30358417901677565,7.749993303304609e-6,1.886268918838141e-12
45,0.3102624056540203,7.270914083602135e-6,1.957545237019076e-12
46,0.29525686081666414,6.817400483350366e-6,2.02127203863256e-12
47,0.29251998986976074,6.516629672432552e-6,2.0938806244430452e-12
48,0.2948751915526911,6.10405849148937e-6,2.161826273550105e-12
49,0.29679976073448594,5.829871155274601e-6,2.2246648967438887e-12
50,0.2775416707615588,5.463922403431019e-6,2.2877255645425976e-12
51,0.2614906246253429,5.1056328359119145e-6,2.3578916596989075e-12
52,0.2670610484094118,4.766066853458223e-6,2.4369395390522186e-12
53,0.2615118204997288,4.447279408020734e-6,2.5217605781335806e-12
54,0.2643725464481639,4.148637506608472e-6,2.6116886431282182e-12
55,0.25877251546094626,3.869347697412135e-6,2.6993962620736056e-12
56,0.24920418544209996,3.603019775170243e-6,2.7780000522170667e-12
57,0.23746661345639536,3.3509540197216746e-6,2.864153358927979e-12
58,0.23223371762794395,3.1122480055465395e-6,2.950306665638891e-12
59,0.2327148540608647,2.888825920603004e-6,3.0440094889172542e-12
60,0.22265083976931926,2.679328344105871e-6,3.1399327582448677e-12
61,0.21657036922131392,2.4808552292463794e-6,3.246958257818733e-12
62,0.21768406237935173,2.295641983752919e-6,3.3562042034418482e-12
63,0.21075192059140935,2.1224349932029343e-6,3.462341524596013e-12
64,0.2093925532472136,1.960068997822282e-6,3.5631497752319774e-12
65,0.20880169015398173,1.8095630066722302e-6,3.6637359812630166e-12
66,0.20675049609886478,1.6691064954860277e-6,3.75965925059063e-12
67,0.1966987696310386,1.5378326358156781e-6,3.8615777242512195e-12
68,0.1921760649826354,1.4149258155654165e-6,3.97371024973836e-12
69,0.17516228505318493,1.3000163051012353e-6,4.084732552200876e-12
70,0.1693846145954566,1.2151690090086596e-6,4.225064742513496e-12
71,0.16982196855908718,1.1138348619695016e-6,4.356071059419264e-12
72,0.16275517186799326,1.0198615372373284e-6,4.484190796461007e-12
73,0.16108350002532237,9.327519819051682e-7,4.608979864428875e-12
74,0.1538232638571191,8.5185847321234e-7,4.733102798581967e-12
75,0.14956899647575686,7.767745900923379e-7,4.873879078104437e-12
76,0.1479846548591654,7.078288887314341e-7,5.014433313021982e-12
77,0.13449659298624528,6.439439074631915e-7,5.153877324914902e-12
78,0.13011513046983023,5.846122873299749e-7,5.325961893731801e-12
79,0.1327116239311848,5.302347262181682e-7,5.506262112930926e-12
80,0.13197884827026035,4.80652160801784e-7,5.716094264585081e-12
81,0.12269145976161859,4.3507886868628587e-7,5.9328097989919115e-12
82,0.11302552354289928,3.9297314420431734e-7,6.183942247162122e-12
83,0.10615499525466275,3.5434046104693183e-7,6.461942092528261e-12
84,0.09781673921360226,3.190287023915189e-7,6.80744349779161e-12
85,0.08983195247399944,2.866549484251417e-7,7.16049441962241e-12
86,0.0848369929245898,2.3527257272796566e-7,7.52109485802066e-12
87,0.08169427912538209,2.1022985235307932e-7,7.899680909417839e-12
88,0.08025798527931757,1.876564939274879e-7,8.315570454442422e-12
89,0.07365718915457074,1.6719889795303953e-7,8.735456802355657e-12
90,0.07043395482386293,1.487228811965246e-7,9.202638651117923e-12
91,0.06424474713755762,1.3207322816226764e-7,9.656053734374836e-12
92,0.05608529511595556,1.1706648497063123e-7,1.0176748332924035e-11
93,0.05009223439489303,1.0356237930284409e-7,1.0840439657044953e-11
94,0.04617105010863952,9.14597878781502e-8,1.1554535106483854e-11
95,0.041470358324368684,8.063037364744539e-8,1.2311707209278211e-11
96,0.037176270011796,7.096012574856359e-8,1.3135492693550077e-11
97,0.03194006350865744,6.23381885411908e-8,1.4095169476036062e-11
98,0.02826376425228501,5.466762398629666e-8,1.5322187962851785e-11
99,0.026140000976987193,5.475259051110652e-8,1.684052897132915e-11
100,0.022537193147634884,4.7986044702467284e-8,1.8561596704103067e-11
101,0.019617001687796277,4.1983611673442577e-8,2.07343031632945e-11
102,0.018193064766527833,3.66701230960359e-8,2.358402362290235e-11
103,0.017697916312754428,3.197558243731762e-8,2.667821519253266e-11
104,0.017051334811815498,2.7835744196007695e-8,2.920552688578937e-11
105,0.016467163251162927,2.419082606864957e-8,3.165201434285336e-11
106,0.015604227987517916,2.098722946635139e-8,3.4007463511898095e-11
107,0.0148386043863447,1.8176509408447238e-8,3.643796375740749e-11
108,0.014433088891884747,1.5714824763528312e-8,3.9122927120160966e-11
109,0.01406755100228798,1.3562821446825007e-8,4.207234560738016e-11
110,0.014072726951887979,1.1684910611255324e-8,4.474953740896126e-11
111,0.012931807603397655,7.805027994517346e-9,4.7169157468829326e-11
112,0.012350504108106024,6.6680912488132314e-9,4.9598991580523943e-11
113,0.011445714849056132,5.686013221297293e-9,5.201106212382456e-11
114,0.011451868640360584,4.839331964399517e-9,5.467004626780181e-11
115,0.010991838307006566,4.110858085307114e-9,5.70881120154354e-11
116,0.010351397630617987,3.485261714322209e-9,5.936140468065787e-11
117,0.009851213221306172,2.9490194875382396e-9,6.185918444145955e-11
118,0.008951635897642408,2.4903211058515014e-9,6.447042899537792e-11
119,0.008250870095065858,2.0986995183706024e-9,6.758082982116775e-11
120,0.007840807997383946,1.7650522449326987e-9,7.079270503140833e-11
121,0.007806305550208274,1.6743989818789051e-9,7.421041559041441e-11
122,0.007012767593409642,1.4054141734935743e-9,7.721401296123531e-11
123,0.006501407267688905,1.1771607101628348e-9,8.039480192678639e-11
124,0.006461332210192308,9.838892621092353e-10,8.400657947049694e-11
125,0.006484102882708956,8.205933919565658e-10,8.79207817661154e-11
126,0.006008227420914635,6.829079174982405e-10,9.21653864338623e-11
127,0.005681073889000665,5.670676864817821e-10,9.682654678044855e-11
128,0.005511153768055967,4.698225276162336e-10,1.0079737045032289e-10
129,0.005331338293657451,3.883708448696073e-10,1.0438139241841782e-10
130,0.004803590860422014,3.202988329751265e-10,1.0795631055771082e-10
131,0.004451979149315483,2.9634437525433155e-10,1.1234368990642452e-10
132,0.004395158496411511,2.437262246407848e-10,1.1710565850364674e-10
133,0.004009169640399804,1.9997025259635426e-10,1.2205569888124046e-10
134,0.0038587594570325336,1.6367039955321808e-10,1.273661176526275e-10
