iterations,relative_residual_norm,projected_residual_norm
1,0.0,0.0
2,0.9999999999999978,9.853055683934145e-11
3,0.9985730932006043,9.82437205055113e-11
4,1.1020032020394726,8.914778926402817e-11
5,1.2335243847760107,8.982607909855337e-11
6,1.2582759117386957,9.076707135530244e-11
7,1.2170864896966018,8.942358348472752e-11
8,1.1432162275736135,8.709237854433902e-11
9,1.1320446732069922,8.712476597188548e-11
10,1.1095758811821115,8.575634366236181e-11
11,1.0947814616700533,8.447944074749034e-11
12,1.0883852847645186,8.326415444494956e-11
13,1.0624996953200943,8.119306108403263e-11
14,1.0388824659451916,7.860295818360781e-11
15,1.0294192198689311,7.727910145172583e-11
16,1.0200635157287983,7.727313802534878e-11
17,1.016614833540389,7.726828831622089e-11
18,1.0046393037780548,7.726434671087223e-11
19,0.9917937749731888,7.72611671472219e-11
20,0.9838479839069086,7.725862219170417e-11
21,0.9777909199961192,7.725662331487348e-11
22,0.865781594585985,5.729346056500551e-11
23,0.8578371925245453,5.728926186983262e-11
24,0.8514562757391515,5.7285669053427794e-11
25,0.8461701875059622,5.7282641479069795e-11
26,0.8432974324341529,5.728015367840489e-11
27,0.7412481012294875,4.2434603015106415e-11
28,0.7371428676454267,4.2432315125249615e-11
29,0.7302387297911254,4.2430305730402766e-11
30,0.7260397819853411,4.2428480472137294e-11
31,0.6117908096663663,2.800079585196587e-11
32,0.6072579932078997,2.7999519966020132e-11
33,0.6024100083544524,2.799837833334302e-11
34,0.5985201327105846,2.799743844839286e-11
35,0.5246940183085079,2.0071501866602873e-11
36,0.5186212382762607,2.007133195057081e-11
37,0.5112276952079359,2.0071315953739496e-11
38,0.44968908330086726,1.446471305291965e-11
39,0.4450852337648334,1.4465069211568237e-11
40,0.44124407381215647,1.4465505519427871e-11
41,0.36907878001513145,8.73666955108566e-12
42,0.36422296118953607,8.737501845426225e-12
43,0.35991762948374506,8.738336744000515e-12
44,0.32200095620810354,6.245761267358959e-12
45,0.3187155031852635,6.246723553238989e-12
46,0.31450503406272495,6.247651190881735e-12
47,0.28008495885458967,4.504486323893505e-12
48,0.2727230474842315,4.505448808645293e-12
49,0.24664789424407657,3.2767468704631833e-12
50,0.24289897670682686,3.2778464322913973e-12
51,0.23886101809109625,3.2790111549494675e-12
52,0.2377239868383825,3.2802835784935847e-12
53,0.2340010126788151,3.2816415396236007e-12
54,0.23032407088549214,3.282978654412181e-12
55,0.22699610736904735,3.2842788882278357e-12
56,0.22449799766685108,3.2855625124213866e-12
57,0.22137805459010268,3.2867714196037925e-12
58,0.21742260154038537,3.2878627520935405e-12
59,0.21543637502737764,3.2888989959134435e-12
60,0.21394196237446583,3.2898738469432435e-12
61,0.21307745136047707,3.2907437407309375e-12
62,0.21111168443740058,3.2915328062300677e-12
63,0.20954386592404553,3.2922552949078007e-12
64,0.2086861296610921,3.292900643042495e-12
65,0.20685460944820916,3.2935581549719077e-12
66,0.20414246839956765,3.2941983654144696e-12
67,0.20246783142076125,3.29482093662453e-12
68,0.20081848252783338,3.2954620822438623e-12
69,0.20054854184012202,3.296131976887547e-12
70,0.08908893401652833,1.777662743504082e-13
71,0.08721504398553272,1.7849239522234872e-13
72,0.0852369193699521,1.7915605636288204e-13
73,0.08092590251669479,1.7973005901533538e-13
74,0.07819843476882195,1.802198109087001e-13
75,0.07778537573471508,1.806988215733445e-13
76,0.0763436600085977,1.811498117737441e-13
77,0.07427786585688408,1.8150413509203114e-13
78,0.07257128264266569,1.817669688420178e-13
79,0.07185177461544773,1.8195843818158357e-13
80,0.0701362789503668,1.821221069473349e-13
81,0.0672291560696785,1.8225275602507648e-13
82,0.06601843630864107,1.823711709633029e-13
83,0.06462556370280496,1.82518660652404e-13
84,0.06363758453535576,1.826614199504957e-13
85,0.06136970450060498,1.8280588572058845e-13
86,0.04943843636280133,6.683839690216017e-14
87,0.04819915212595249,6.702153318537052e-14
88,0.04758775865774098,6.72281289637215e-14
89,0.04671560456849858,6.746270907567557e-14
90,0.04541703893778931,6.768860488356739e-14
91,0.04411460732636073,6.790504366876952e-14
92,0.04246546737274769,6.810757210657716e-14
93,0.0414199738045272,6.827945977009504e-14
94,0.04087752400314727,6.843973210870244e-14
95,0.04096657119303233,6.860673987579861e-14
96,0.0400249958081176,6.876651715925588e-14
97,0.0384037031261149,6.89181579411829e-14
98,0.037875094249755735,6.908166417952773e-14
