iterations,relative_residual_norm,projected_residual_norm,orthogonality_data
1,0.0,0.0,0.0
2,0.018778790960556378,1.0189027684382593e-92,2.2870594307278225e-14
3,0.0039058841908836354,8.7591039240143e-93,8.459899447643693e-14
4,0.002276282128177886,8.474800397809415e-93,1.8096635301390052e-13
5,0.0016612188488176456,8.372944848065751e-93,3.490541189421492e-13
6,0.0012963361251129128,8.32599005450399e-93,5.613287612504791e-13
7,0.0010466124262107613,8.312643333586617e-93,8.357758929378178e-13
8,0.0008692825371249955,8.315527805141942e-93,1.1588507931037384e-12
9,0.0007317240829442895,8.323121727645567e-93,1.5238921236004899e-12
10,0.0006244114580579673,8.333436788806302e-93,1.9479973190072997e-12
11,0.0005449471154716785,8.344745820377182e-93,2.4080737404119645e-12
12,0.00048384826047778257,8.355160964371366e-93,2.9101165921474603e-12
13,0.00043552383048722066,8.364812935684392e-93,3.4450220454118607e-12
14,0.00039799643967842194,8.373884955195081e-93,4.013678278624866e-12
15,0.0003709220115652453,8.38191372725172e-93,4.596323321948148e-12
16,0.00034707185560738985,8.38909788877557e-93,5.225597732305687e-12
17,0.0003303781354334522,8.395600986974982e-93,5.905054223376283e-12
18,0.0003192155512739224,8.401253773991993e-93,6.607159264149232e-12
19,0.00031052369936472086,8.406065393725731e-93,7.33613170211811e-12
20,0.0003035954617771196,8.410151473638169e-93,8.067768675346088e-12
21,0.00029851192969880855,8.413985253371323e-93,8.814504681708968e-12
22,0.0002947417698582881,8.417477151288402e-93,9.554135260714247e-12
23,0.0002918425700248694,8.420898569745466e-93,1.0298650821027877e-11
24,0.0002897350058868114,8.424114164748046e-93,1.106581493104386e-11
25,0.00028809186805807055,8.427098804860874e-93,1.1834977442504169e-11
26,0.000286854030979581,8.429940014343439e-93,1.2617462630259979e-11
27,0.0002859128084383902,8.432550483246388e-93,1.3420375921668892e-11
28,0.00028524060401794317,8.434938569665021e-93,1.4240164603052108e-11
29,0.00028476926318920295,8.43712310431661e-93,1.5081713655717977e-11
30,0.00028440163418578325,8.439146034838413e-93,1.5921486351544445e-11
31,0.00028412607865758825,8.440999503192116e-93,1.676192518118569e-11
32,0.0002839226873426128,8.442654034590367e-93,1.7609691482789458e-11
33,0.00028376749462506176,8.444161806407577e-93,1.8454127115319352e-11
34,0.0002836500277766516,8.44555863701112e-93,1.9316992450058024e-11
35,0.00028356732314692136,8.446823366846917e-93,2.0186519122944446e-11
36,0.00028350436425890636,8.44803077586504e-93,2.105426943899147e-11
37,0.00028345950216113945,8.44916567662053e-93,2.1936230609753693e-11
38,0.00028342894592939976,8.450205195078216e-93,2.282662947550307e-11
39,0.0002834082838682623,8.451181449183795e-93,2.3719248787301694e-11
40,0.00028339369252453896,8.452109297773353e-93,2.4620971927902247e-11
41,0.0002833861115578128,8.452975939388108e-93,2.5532242986514575e-11
42,0.00028338376097436285,8.45379714725406e-93,2.645572649839778e-11
43,0.00028338375722064,8.454560791417517e-93,2.7360336218862358e-11
44,0.000283385123934509,8.455283388046286e-93,2.8256952333549634e-11
45,0.0002833886152403553,8.455969166193713e-93,2.9151570046792585e-11
46,0.0002833929068337608,8.456602738392043e-93,3.004019255570256e-11
47,0.0002833975826637545,8.45720539278144e-93,3.0919489191205685e-11
48,0.00028340366924130365,8.457788587810499e-93,3.1805669209461485e-11
49,0.00028340944229340604,8.458323648783043e-93,3.2668978633410006e-11
50,0.0002834156554462441,8.458836507225511e-93,3.352984556670435e-11
51,0.0002834221157594447,8.459333735315404e-93,3.43862716079002e-11
52,0.0002834283188814554,8.45980117429641e-93,3.522981906201039e-11
53,0.0002834345782544026,8.46024663934482e-93,3.608602305860131e-11
54,0.0002834406008763295,8.460663272536285e-93,3.6951108839389235e-11
55,0.00028344676402573235,8.461074619411066e-93,3.7830183430287434e-11
56,0.0002834525407751266,8.461453133973031e-93,3.872369092050576e-11
57,0.00028345844033399344,8.461828905365258e-93,3.9619418856773336e-11
58,0.0002834638335880727,8.462172930282691e-93,4.049427460017796e-11
59,0.0002834692143122749,8.462511325987223e-93,4.136957443279243e-11
60,0.0002834744406764617,8.46283553436076e-93,4.2269521216553585e-11
61,0.00028347928560651224,8.463133968368624e-93,4.316880186649996e-11
62,0.00028348399158954215,8.463423187040645e-93,4.4044989877534135e-11
63,0.00028348860571999324,8.463704761984488e-93,4.493050376197516e-11
64,0.00028349304042154215,8.463974549870857e-93,4.5816461735626035e-11
65,0.0002834972614286772,8.464230207575602e-93,4.6702641753881835e-11
66,0.0002835014056686323,8.464480778986456e-93,4.756972593611408e-11
67,0.00028350536684066004,8.464719806224658e-93,4.8438808519790655e-11
68,0.00028350910769209394,8.464945003315426e-93,4.932432240423168e-11
69,0.0002835128573667248,8.465170386141644e-93,5.021316695774658e-11
70,0.00028351629203506083,8.465376552492347e-93,5.110245560047133e-11
71,0.0002835197794900624,8.465585690610267e-93,5.1991522198591156e-11
72,0.0002835230750682155,8.465783213118822e-93,5.287037474488443e-11
73,0.0002835262712545903,8.465974677794205e-93,5.374811706815308e-11
74,0.00028352906646371466,8.46614202543563e-93,5.464761976270438e-11
75,0.00028353195165653467,8.466314673681084e-93,5.555378379540343e-11
76,0.0002835348282334974,8.466486721858157e-93,5.6483262511619614e-11
77,0.00028353742869199026,8.466642211005398e-93,5.742761821636577e-11
78,0.00028354007230433503,8.466800243299585e-93,5.835620875416225e-11
79,0.00028354262174373204,8.466952617806186e-93,5.927236479408293e-11
80,0.0002835449614940849,8.46709246231351e-93,6.017031317639976e-11
81,0.00028354738815277955,8.467237464551436e-93,6.109113215302386e-11
82,0.0002835497085626991,8.467376108921998e-93,6.202238722607945e-11
83,0.00028355181511624414,8.46750196612112e-93,6.296474452938128e-11
84,0.0002835539912009733,8.467631966649537e-93,6.391243090320131e-11
85,0.0002835560228870107,8.467753337623149e-93,6.48658904367494e-11
86,0.00028355794270837516,8.467868022120521e-93,6.583333878040776e-11
87,0.0002835599975639109,8.467990764679003e-93,6.681366571115177e-11
88,0.000283561872070403,8.468102734581321e-93,6.77684575123294e-11
89,0.00028356354757517403,8.46820281741477e-93,6.872458158113659e-11
90,0.000283565362322508,8.468311215481491e-93,6.96818158729684e-11
91,0.0002835669491395705,8.468405997710913e-93,7.068656771025417e-11
92,0.0002835685723273112,8.468502951616379e-93,7.170664062527976e-11
93,0.0002835703464670821,8.468608920834893e-93,7.274136848423041e-11
