iterations,relative_residual_norm,projected_residual_norm,orthogonality_data
1,0.0,0.0,0.0
2,1.2756089528972305,3.268443514426421e-10,2.220446049250313e-15
3,1.625864699917449,9.021484048622914e-10,2.6645352591003757e-15
4,1.7839177237508015,1.3982080758500638e-9,4.884981308350689e-15
5,1.83528902425003,1.990017365195544e-9,5.551115123125783e-15
6,1.9626080346017207,2.991328206458036e-9,6.217248937900877e-15
7,2.053374559390796,4.336303706191889e-9,6.439293542825908e-15
8,2.079453191484785,6.0176119810327784e-9,9.547918011776346e-15
9,2.0382697720574816,8.328358328934388e-9,9.547918011776346e-15
10,1.9576598493129655,9.658271712996783e-9,8.43769498715119e-15
11,1.9147085006400233,1.068157339754192e-8,1.0880185641326534e-14
12,1.9338130924744126,1.2477516807426169e-8,9.103828801926284e-15
13,1.9362416961937137,1.491400745745131e-8,1.199040866595169e-14
14,1.9143118016966023,1.865604448068837e-8,1.0436096431476471e-14
15,1.9056331205409254,2.3697812987009785e-8,1.0658141036401503e-14
16,1.905460695658451,3.0081485446033576e-8,1.2434497875801753e-14
17,1.8369532003522615,3.750623431253951e-8,1.0658141036401503e-14
18,1.8258028731820204,4.5586904989618204e-8,1.0658141036401503e-14
19,1.7410097907691897,5.474148207776017e-8,1.2212453270876722e-14
20,1.6841821265052916,6.325575716215536e-8,1.2212453270876722e-14
21,1.567280597887999,7.090234473773908e-8,1.2656542480726785e-14
22,1.5323140194660692,7.83249106671457e-8,1.1546319456101628e-14
23,1.5122611219431348,8.595819728668972e-8,1.4210854715202004e-14
24,1.4730379980596844,9.265704638717221e-8,1.199040866595169e-14
25,1.4815946126337802,9.872532934007217e-8,1.4432899320127035e-14
26,1.4521311388268494,1.0569762028648936e-7,1.3766765505351941e-14
27,1.3997696956647054,1.1374460873479547e-7,1.4432899320127035e-14
28,1.3775925694220597,1.2350280955330997e-7,1.5987211554602254e-14
29,1.3409810942224727,1.347318000893805e-7,1.4876988529977098e-14
30,1.3041596043009296,1.468472008306701e-7,1.354472090042691e-14
31,1.3491457030258283,1.6238336885527303e-7,1.4654943925052066e-14
32,1.3415996509228207,1.822891552725808e-7,1.3766765505351941e-14
33,1.295424523852894,2.0471960965535215e-7,1.5987211554602254e-14
34,1.2896878213729437,2.2980190367402533e-7,1.354472090042691e-14
35,1.2315486814614856,2.5514198061764174e-7,1.4654943925052066e-14
36,1.2253038338510773,2.8051851385594694e-7,1.3766765505351941e-14
37,1.2066149622232358,3.0874194317283147e-7,1.3766765505351941e-14
38,1.1643220607352358,3.383469061189661e-7,1.4432899320127035e-14
39,1.1555270998560805,3.6844903299421226e-7,1.687538997430238e-14
40,1.1133148274358704,3.991367404449701e-7,1.4654943925052066e-14
41,1.097590207723381,4.313538083023814e-7,1.4876988529977098e-14
42,1.0703329340173329,4.6574452652740125e-7,1.554312234475219e-14
43,1.0403166422008125,5.026198999108522e-7,1.4432899320127035e-14
44,1.0317680419536857,5.413510184554661e-7,1.5987211554602254e-14
45,1.0351253779022118,5.813062170121827e-7,1.4654943925052066e-14
46,1.0148075749160714,6.212381288625687e-7,1.554312234475219e-14
47,1.0029667676768819,6.613158420071697e-7,1.6209256159527285e-14
48,1.0113016390665437,7.003253040241322e-7,1.6209256159527285e-14
49,0.9901733104442499,7.376464362891582e-7,1.6653345369377348e-14
50,0.9446793695006409,7.735890293588451e-7,1.7763568394002505e-14
51,0.9193841576950907,8.091091050622772e-7,1.7319479184152442e-14
52,0.9258972199287765,8.434098277106052e-7,1.6431300764452317e-14
53,0.9188790172266783,8.783810487682231e-7,1.7319479184152442e-14
54,0.9069699645126907,9.110235141352786e-7,1.709743457922741e-14
55,0.8887977301091289,9.414605504777626e-7,1.7763568394002505e-14
56,0.8580451557925639,9.661550824776525e-7,1.7763568394002505e-14
57,0.8215828788352979,9.846879757630447e-7,1.7319479184152442e-14
58,0.8063342823015706,9.996337266965079e-7,1.84297022087776e-14
59,0.7789300110296444,1.012620676896594e-6,1.6209256159527285e-14
60,0.7793182684233658,1.0235482847923577e-6,1.532107773982716e-14
61,0.7530970865440166,1.033823373751885e-6,1.709743457922741e-14
62,0.7457809789919532,1.0460107731007171e-6,1.5765166949677223e-14
63,0.7332091828912864,1.0596851586176445e-6,1.687538997430238e-14
64,0.7117762414907306,1.076553792224834e-6,1.709743457922741e-14
65,0.698731167914489,1.0963657094202844e-6,1.709743457922741e-14
66,0.6868003042052462,1.1182653390614172e-6,1.7541523789077473e-14
67,0.6593628641983276,1.1394499178536688e-6,1.7763568394002505e-14
68,0.6406545082264766,1.1597908911875903e-6,1.687538997430238e-14
69,0.6435384556109169,1.1815511017259413e-6,1.554312234475219e-14
70,0.6306135865872105,1.204118353154897e-6,1.687538997430238e-14
71,0.6077128378597546,1.2266046313801245e-6,1.7763568394002505e-14
72,0.5992255072679272,1.250611390833092e-6,1.7541523789077473e-14
73,0.5933504041218306,1.2784356294027327e-6,1.7763568394002505e-14
74,0.5891623955314326,1.3093481926751156e-6,1.8207657603852567e-14
75,0.5730328263214653,1.3415499328947676e-6,1.8207657603852567e-14
76,0.5514142950728597,1.3753021320583782e-6,1.687538997430238e-14
77,0.5383064747293479,1.4077396249608139e-6,1.7319479184152442e-14
78,0.5333650642779036,1.4407217165629364e-6,1.7763568394002505e-14
79,0.5253701628877802,1.4757275299946042e-6,1.9095836023552692e-14
80,0.5062398235176284,1.510334395633014e-6,1.8207657603852567e-14
81,0.4855905757585427,1.5411736794024343e-6,1.709743457922741e-14
82,0.47319265931833027,1.5699067750750417e-6,2.0650148258027912e-14
83,0.4573666447154394,1.597017990261128e-6,1.7763568394002505e-14
84,0.4577770482315913,1.6226458234022494e-6,1.9317880628477724e-14
85,0.4402353822608597,1.6474443878335718e-6,1.887379141862766e-14
86,0.4326575088573374,1.6710022594221057e-6,1.7319479184152442e-14
87,0.43485440831971,1.693475880844373e-6,2.1094237467877974e-14
88,0.4150687341496259,1.7167794817790584e-6,1.709743457922741e-14
89,0.4047433831994617,1.7387289801881062e-6,1.9539925233402755e-14
90,0.395051602019567,1.7611119904171286e-6,1.9761969838327786e-14
91,0.39568912033726006,1.7827972670775294e-6,1.9761969838327786e-14
92,0.38149922096390826,1.8047486539466686e-6,1.84297022087776e-14
93,0.3670689623646651,1.8228450070210717e-6,1.865174681370263e-14
94,0.35494061361878987,1.8392452036873315e-6,1.887379141862766e-14
