iterations,relative_residual_norm,projected_residual_norm,orthogonality_data
1,0.0,0.0,0.0
2,0.9999999999999957,0.0,9.28999309741714e-16
3,0.995058420711387,0.0,1.268746095236786e-15
4,1.5615202838983666,0.0,2.0373754710391065e-15
5,2.155689621554586,0.0,3.0951590017834833e-15
6,2.3391658330677503,0.0,4.377659175696103e-15
7,2.314059123154295,0.0,5.704338601976027e-15
8,2.1212077677387193,0.0,7.724442072638198e-15
9,2.0589162888249626,0.0,9.930435943055345e-15
10,1.9447423062838118,0.0,1.2739224462013326e-14
11,1.920912552159109,0.0,1.5217427568351717e-14
12,1.9429552221927073,0.0,1.8430394030626488e-14
13,1.9264585052677217,0.0,2.1428834736671526e-14
14,1.9439732946404746,0.0,2.4138780559306153e-14
15,1.9920435764655708,0.0,2.6531258704879766e-14
16,2.014880823242893,0.0,2.880390308576981e-14
17,1.8245676396189794,0.0,3.17036314642806e-14
18,1.7194297996896701,0.0,3.5062262951977733e-14
19,1.6858549795246833,0.0,3.8803205574907344e-14
20,1.651908326734937,0.0,4.2258094997997584e-14
21,1.654461021354826,0.0,4.675074895513397e-14
22,1.539478167237548,0.0,5.078918092854345e-14
23,1.524806647398861,0.0,5.551414571114176e-14
24,1.505213152340496,0.0,5.984739667518891e-14
25,1.4691820919118774,0.0,6.395835647230061e-14
26,1.4547195593382662,0.0,6.858628744889571e-14
27,1.3951521296521991,0.0,7.291377723137053e-14
28,1.405432545094735,0.0,7.713355459962312e-14
29,1.3697820666805027,0.0,8.223955564364394e-14
30,1.31806312095408,0.0,8.879116703031483e-14
31,1.2515583224234836,0.0,9.651493986584378e-14
32,1.268243088618638,0.0,1.0215844325214376e-13
33,1.2487614325281768,0.0,1.0725156996576906e-13
34,1.1894909152652884,0.0,1.1269499925680384e-13
35,1.1517128876436715,0.0,1.1881351209493205e-13
36,1.098243386560514,0.0,1.24851970834341e-13
37,1.0575891160527946,0.0,1.3319165853901112e-13
38,1.038449033835385,0.0,1.421768753360143e-13
39,0.9736052003769096,0.0,1.4907452496436588e-13
40,0.9561527957436353,0.0,1.5572175328490288e-13
41,0.9076880997487288,0.0,1.6362160890398212e-13
42,0.8635153159425913,0.0,1.715713158811515e-13
43,0.8365679928381254,0.0,1.7947282752394359e-13
44,0.8031338252384692,0.0,1.905160738706202e-13
45,0.7538505052638981,0.0,2.0258740907675185e-13
46,0.7071216613366674,0.0,2.1424528055905809e-13
47,0.6938732442657056,0.0,2.2258828804672757e-13
48,0.6766444327205331,0.0,2.308568425943006e-13
49,0.609568957561636,0.0,2.3815815463903886e-13
50,0.6278522466077529,0.0,2.465916987170072e-13
51,0.5904796920045917,0.0,2.5353057614306153e-13
52,0.571452486820171,0.0,2.6447782517952163e-13
53,0.5667291219856081,0.0,2.7647696072498785e-13
54,0.5463208715373695,0.0,2.86128448787344e-13
55,0.5245042104774177,0.0,2.958468072637803e-13
56,0.5235788673211225,0.0,3.0621209358587363e-13
57,0.5267306667969169,0.0,3.1473795992630024e-13
58,0.4898015626723066,0.0,3.2168817485497326e-13
59,0.46476601314359806,0.0,3.313350068123609e-13
60,0.4349405386536679,0.0,3.4312388046176147e-13
61,0.42977285578246394,0.0,3.588991615033499e-13
62,0.43144655115222047,0.0,3.7672954066070436e-13
63,0.42667210133018674,0.0,3.918171830803401e-13
64,0.4245197419066132,0.0,4.090051232921686e-13
65,0.43473041223618675,0.0,4.233088717597196e-13
66,0.4320436337864838,0.0,4.349440675850836e-13
67,0.419232954509507,0.0,4.447159396348712e-13
68,0.4069779451521714,0.0,4.586877586666152e-13
69,0.40354007730910446,0.0,4.746848590667966e-13
70,0.2911998794279071,0.0,4.910996410254769e-13
71,0.2691176193788572,0.0,5.111287616402789e-13
72,0.27069474773480884,0.0,5.329869458187039e-13
73,0.251740781652281,0.0,5.504224738597339e-13
74,0.23670325741699302,0.0,5.656165378632081e-13
75,0.22168868544014933,0.0,5.784089785990383e-13
76,0.21013195393640496,0.0,5.899050621568952e-13
77,0.20055574854446048,0.0,6.037124435956661e-13
78,0.19320769238071037,0.0,6.222520756012466e-13
79,0.18692713229204247,0.0,6.39952355291705e-13
80,0.16823894291790367,0.0,6.585570203477399e-13
81,0.16221827782911794,0.0,6.801453048543142e-13
82,0.1514758290700332,0.0,7.00200557294213e-13
83,0.1461191375248746,0.0,7.236557738123343e-13
84,0.14309287072567273,0.0,7.438685310083143e-13
85,0.13480548200597692,0.0,7.637684891801242e-13
86,0.11226935611717953,0.0,7.861072227396956e-13
87,0.10696889764981693,0.0,8.090088977037986e-13
88,0.09440461108009653,0.0,8.303564837399478e-13
89,0.08903106113676673,0.0,8.53379458430507e-13
90,0.08145460897128066,0.0,8.768047399689628e-13
91,0.0756526107545655,0.0,9.078731082924289e-13
92,0.06951854997715137,0.0,9.45065583964341e-13
93,0.06487949551704852,0.0,9.81275601043219e-13
94,0.058097515156764125,0.0,1.0202386822623121e-12
95,0.05454579025905935,0.0,1.0765234822284924e-12
96,0.0481784009525652,0.0,1.153378812702394e-12
97,0.04093070127948142,0.0,1.2420833040429074e-12
98,0.0352086682333677,0.0,1.367122739849124e-12
99,0.024472382479888023,0.0,1.5491943410655086e-12
100,0.022275461111677657,0.0,1.763862392570631e-12
101,0.021201471963544584,0.0,1.97607289333017e-12
102,0.01928461413861855,0.0,2.1674579979577543e-12
103,0.019741311204708192,0.0,2.3707694064021292e-12
104,0.01912824873465284,0.0,2.5365437871610904e-12
105,0.019180944702328544,0.0,2.7000702220476437e-12
106,0.018959583271283255,0.0,2.805519271159582e-12
107,0.01825099697166361,0.0,2.8981705558126804e-12
108,0.016887287686540426,0.0,3.0077643190701144e-12
109,0.0158421841209623,0.0,3.156429564094934e-12
110,0.01603711389913184,0.0,3.3726357781148217e-12
111,0.013000747752521788,0.0,3.6296188750965723e-12
112,0.012675139562902067,0.0,3.892211437723571e-12
113,0.013196428117791384,0.0,4.122221221897479e-12
114,0.013499576515978804,0.0,4.3034783526046355e-12
115,0.013365857540201635,0.0,4.472553677194717e-12
116,0.01271611499458133,0.0,4.6528196871703865e-12
117,0.01239035632979934,0.0,4.847251005420681e-12
118,0.012264004626460394,0.0,5.05580120902114e-12
119,0.012061339668554811,0.0,5.2209170526018524e-12
120,0.011929769353612495,0.0,5.354628756639983e-12
121,0.012114162753756102,0.0,5.4702230412791336e-12
122,0.01085641369805861,0.0,5.5690984863065174e-12
123,0.010230329898225069,0.0,5.682553137987905e-12
124,0.00973574303801508,0.0,5.815179021325873e-12
125,0.009626751920186888,0.0,5.9752751484840845e-12
126,0.00864133961656456,0.0,6.139634477728071e-12
127,0.00810385945155573,0.0,6.33393084095836e-12
