iterations,relative_residual_norm,projected_residual_norm
1,0.0,0.0
2,0.999999999999999,1.0671717966263236e-85
3,0.9999992609588277,1.0671702102700705e-85
4,0.9999950183724803,1.0671542448160193e-85
5,0.9999900580035893,1.0671461503983046e-85
6,0.9999884706383109,1.0671455847051717e-85
7,0.9999412050820184,1.0670455791781146e-85
8,0.9996901957911096,1.0665101512304974e-85
9,0.9996878571965586,1.0665053507016729e-85
10,0.9992588163808728,1.0655902157277056e-85
11,0.998497973599669,1.0639682096498673e-85
12,0.9972926254391524,1.0614010397224947e-85
13,0.9937795579800497,1.0539364499496519e-85
14,0.9863231846561313,1.0381803387490007e-85
15,0.9811854984596071,1.0273929114708824e-85
16,0.9811598270525766,1.0273391615810613e-85
17,0.9811382918348023,1.0272940721683101e-85
18,0.9811200508456955,1.0272558798642766e-85
19,0.981104465361252,1.0272232478416501e-85
20,0.981091044690299,1.027195147848948e-85
21,0.9810794060209522,1.0271707785926094e-85
22,0.8311941708692508,7.37291648748165e-86
23,0.8311429961250385,7.37200865720662e-86
24,0.8310978314559189,7.371207489916917e-86
25,0.831057771558585,7.370496910563444e-86
26,0.8310220753411326,7.36986376167048e-86
27,0.6650136550562199,4.719494282934216e-86
28,0.6649720789357015,4.718904185473893e-86
29,0.664934589502318,4.71837212248146e-86
30,0.664900668230656,4.7178907257033746e-86
31,0.47350783457067086,2.3927023548494354e-86
32,0.47347705739187224,2.3923913227002724e-86
33,0.47344895608313536,2.3921073501877137e-86
34,0.47342322918681823,2.3918473865381545e-86
35,0.3572582490783635,1.36206825050342e-86
36,0.3572377253289017,1.3619117591724923e-86
37,0.3572188009223612,1.361767470567986e-86
38,0.2698828521422608,7.7729329470311165e-87
39,0.26986836011335136,7.772098196359303e-87
40,0.26985491588403043,7.771323839614113e-87
41,0.1749763976751881,3.267332114675135e-87
42,0.17496717332832507,3.2669876318128737e-87
43,0.1749585710343204,3.2666663958407833e-87
44,0.1308216185089408,1.8263893865747226e-87
45,0.1308153369486829,1.8262139982692132e-87
46,0.13080945225564175,1.8260496985536545e-87
47,0.09838491400598397,1.0329786840315628e-87
48,0.09838062036034245,1.0328885249802435e-87
49,0.07440467547744313,5.907922541464159e-88
50,0.07440154472797736,5.907425373139505e-88
51,0.0743985929495045,5.906956644764423e-88
52,0.07439580675553183,5.906514227468175e-88
53,0.07439317398657945,5.906096187576125e-88
54,0.07439068358014019,5.905700766072253e-88
55,0.07438832545291839,5.905326359771157e-88
56,0.0743860903993135,5.904971505151202e-88
57,0.07438397000063754,5.904634863887311e-88
58,0.07438195654567181,5.904315210227947e-88
59,0.0743800429614265,5.90401141993071e-88
60,0.07437822274937912,5.903722460148619e-88
61,0.07437648993268678,5.903447380998858e-88
62,0.0743748390023161,5.903185307002377e-88
63,0.07437326488050741,5.902935431258511e-88
64,0.0743717628738471,5.902697007986563e-88
65,0.07437032864332756,5.902469347755252e-88
66,0.07436895817226231,5.902251812377857e-88
67,0.07436764773537549,5.902043809994787e-88
68,0.07436639387667256,5.901844791556906e-88
69,0.07436519338596527,5.901654247086243e-88
70,0.003945806299262182,1.6615211067871655e-90
71,0.0039456988695993605,1.6614306340059668e-90
72,0.003945595868886157,1.6613438934072096e-90
73,0.003945497000666936,1.6612606350338385e-90
74,0.0039454020550101524,1.6611806818656816e-90
75,0.003945310844213371,1.661103875598985e-90
76,0.003945223150796659,1.6610300328985712e-90
77,0.003945138822235036,1.6609590251354967e-90
78,0.003945057675423724,1.6608906979493142e-90
79,0.003944979551185018,1.660824917153304e-90
80,0.003944904319459722,1.6607615730921134e-90
81,0.00394483181372942,1.6607005254211779e-90
82,0.00394476191075834,1.660641670257231e-90
83,0.00394469449155781,1.6605849073031292e-90
84,0.003944629442793215,1.6605301410337012e-90
85,0.00394456663827171,1.6604772651082577e-90
86,0.0001962620458023962,4.110616694225558e-93
87,0.00019625802103541613,4.110448103585344e-93
88,0.00019625392934127288,4.110276712626021e-93
89,0.00019624972636967308,4.110100663993079e-93
90,0.00019624576686299113,4.109934816522604e-93
91,0.00019624200853385628,4.109777398584139e-93
92,0.00019623826616662978,4.109620652150767e-93
93,0.0001962345343053148,4.1094643486250095e-93
94,0.00019623112235431917,4.109321446626414e-93
95,0.00019622785532767578,4.1091846167483355e-93
96,0.00019622446373086395,4.109042571990284e-93
97,0.00019622158857174484,4.108922158268612e-93
98,0.00019621832889326552,4.108785642712066e-93
99,1.3798276618536593e-5,2.031814391302067e-95
100,1.3799047953910153e-5,2.0320415600460842e-95
101,1.3798548280555652e-5,2.0318944004194566e-95
102,1.3798276606037995e-5,2.031814391302067e-95
103,1.3800260662602368e-5,2.03239874360586e-95
104,1.3800658408997522e-5,2.0325158998134664e-95
105,1.3798475506467864e-5,2.03187296940587e-95
106,1.3797311150158704e-5,2.0315300731884854e-95
107,1.379857252997194e-5,2.031901544090652e-95
108,1.3796263144892811e-5,2.0312214665928392e-95
109,1.379560324913462e-5,2.0310271587363212e-95
110,1.3796355332483242e-5,2.031248612543382e-95
