R, 1,         2,         3,         4,         5,         6,         7    
2E00, 2.128E-02, 2.080E-04, 1.834E-06, 1.542E-08, 1.261E-10, 1.012E-12, 8.020E-15
3E00, 4.358E-02, 1.035E-03, 2.223E-05, 4.556E-07, 9.088E-09, 1.780E-10, 3.444E-12
4E00, 5.960E-02, 2.191E-03, 7.279E-05, 2.311E-06, 7.139E-08, 2.167E-09, 6.498E-11
5E00, 7.075E-02, 3.437E-03, 1.500E-04, 6.258E-06, 2.543E-07, 1.016E-08, 4.007E-10
6E00, 7.825E-02, 4.659E-03, 2.463E-04, 1.246E-05, 6.143E-07, 2.976E-08, 1.424E-09
7E00, 8.288E-02, 5.811E-03, 3.553E-04, 2.079E-05, 1.185E-06, 6.643E-08, 3.677E-09
8E00, 8.516E-02, 6.878E-03, 4.718E-04, 3.098E-05, 1.982E-06, 1.246E-07, 7.741E-09
9E00, 8.556E-02, 7.857E-03, 5.924E-04, 4.273E-05, 3.004E-06, 2.076E-07, 1.417E-08
1E01, 8.556E-02, 8.752E-03, 7.145E-04, 5.577E-05, 4.243E-06, 3.173E-07, 2.344E-08
2E01,    --    , 1.448E-02, 1.819E-03, 2.169E-04, 2.521E-05, 2.880E-06, 3.252E-07
3E01,    --    , 1.699E-02, 2.627E-03, 3.795E-04, 5.336E-05, 7.379E-06, 1.008E-06
4E01,    --    , 1.784E-02, 3.215E-03, 5.230E-04, 8.266E-05, 1.285E-05, 1.973E-06
5E01,    --    , 1.785E-02, 3.659E-03, 6.469E-04, 1.110E-04, 1.872E-05, 3.121E-06
6E01,    --    ,    --    , 4.001E-03, 7.541E-04, 1.377E-04, 2.471E-05, 4.382E-06
7E01,    --    ,    --    , 4.271E-03, 8.474E-04, 1.626E-04, 3.066E-05, 5.711E-06
8E01,    --    ,    --    , 4.485E-03, 9.293E-04, 1.858E-04, 3.648E-05, 7.077E-06
9E01,    --    ,    --    , 4.655E-03, 1.002E-03, 2.074E-04, 4.213E-05, 8.458E-06
1E02,    --    ,    --    , 4.789E-03, 1.066E-03, 2.274E-04, 4.760E-05, 9.841E-06
2E02,    --    ,    --    , 5.052E-03, 1.456E-03, 3.707E-04, 9.217E-05, 2.261E-05
3E02,    --    ,    --    ,    --    , 1.628E-03, 4.554E-04, 1.235E-04, 3.297E-05
4E02,    --    ,    --    ,    --    , 1.695E-03, 5.117E-04, 1.467E-04, 4.141E-05
5E02,    --    ,    --    ,    --    , 1.700E-03, 5.517E-04, 1.649E-04, 4.842E-05
6E02,    --    ,    --    ,    --    ,    --    , 5.811E-04, 1.795E-04, 5.438E-05
7E02,    --    ,    --    ,    --    ,    --    , 6.031E-04, 1.915E-04, 5.952E-05
8E02,    --    ,    --    ,    --    ,    --    , 6.193E-04, 2.016E-04, 6.401E-05
9E02,    --    ,    --    ,    --    ,    --    , 6.309E-04, 2.102E-04, 6.799E-05
1E03,    --    ,    --    ,    --    ,    --    , 6.385E-04, 2.177E-04, 7.153E-05
2E03,    --    ,    --    ,    --    ,    --    , 6.428E-04, 2.570E-04, 9.365E-05
3E03,    --    ,    --    ,    --    ,    --    ,    --    , 2.646E-04, 1.047E-04
4E03,    --    ,    --    ,    --    ,    --    ,    --    ,    --    , 1.110E-04
5E03,    --    ,    --    ,    --    ,    --    ,    --    ,    --    , 1.146E-04
6E03,    --    ,    --    ,    --    ,    --    ,    --    ,    --    , 1.162E-04
7E03,    --    ,    --    ,    --    ,    --    ,    --    ,    --    , 1.163E-04
